,user,prediction
0,53,
5,216,
6,482,
8,424,
11,26,
12,319,
13,202,
15,331,
16,524,
20,392,
21,516,
22,1265,
24,588,
25,78,
30,406,
31,587,
32,26,
35,409,
38,319,
39,157,
40,232,
41,539,
44,132,
45,386,
46,146,
49,631,
50,442,
56,402,
57,415,
59,425,
66,461,
67,462,
71,175,
77,326,
80,549,
82,136,
83,331,
84,428,
87,438,
89,533,
90,509,
91,293,
93,216,
96,408,
98,95,
99,482,
101,528,
102,214,
103,550,
105,352,
107,90,
108,371,
109,151,
110,433,
112,478,
114,58,
115,369,
116,541,
118,424,
119,454,
121,242,
123,566,
124,149,
125,294,
126,302,
129,628,
136,187,
141,17,
147,329,
150,22,
152,355,
156,438,
158,543,
160,293,
163,621,
165,242,
166,148,
169,392,
171,1265,
173,53,
174,481,
175,133,
176,513,
181,412,
184,26,
186,329,
187,223,
190,601,
192,346,
197,556,
198,305,
199,291,
200,386,
202,146,
206,442,
207,348,
208,6,
209,86,
211,178,
212,169,
213,500,
218,544,
220,268,
222,92,
228,366,
229,37,
230,461,
231,531,
232,324,
236,583,
237,594,
238,310,
239,326,
240,59,
242,136,
245,331,
247,543,
249,524,
250,264,
252,635,
255,10,
258,38,
259,261,
262,249,
266,62,
268,411,
269,482,
271,528,
275,352,
280,32,
281,382,
282,265,
283,151,
288,33,
294,499,
304,517,
308,193,
311,329,
313,91,
314,333,
316,157,
325,178,
327,235,
328,397,
329,117,
333,327,
335,498,
336,307,
337,161,
338,549,
342,635,
346,464,
347,550,
352,525,
356,393,
358,53,
359,321,
364,548,
365,601,
372,163,
375,2910,
376,531,
382,278,
384,585,
385,543,
386,524,
387,533,
391,352,
392,195,
393,621,
394,608,
397,424,
399,337,
404,148,
405,463,
406,496,
407,392,
408,623,
410,31,
411,516,
412,137,
413,251,
414,1265,
415,65,
416,458,
418,53,
419,255,
420,481,
421,588,
424,472,
426,321,
427,362,
428,155,
429,368,
430,530,
431,101,
433,385,
435,210,
436,436,
438,596,
441,406,
442,412,
445,501,
446,577,
447,44,
448,192,
449,271,
452,103,
453,329,
454,460,
456,336,
457,350,
461,223,
463,602,
465,409,
467,333,
469,285,
470,22,
471,372,
472,604,
474,122,
475,230,
476,319,
477,493,
478,93,
479,157,
480,190,
481,225,
482,232,
483,346,
484,476,
488,177,
489,556,
490,132,
491,185,
492,355,
493,386,
494,435,
495,603,
501,52,
503,212,
505,631,
506,182,
507,442,
508,13,
509,440,
510,86,
511,474,
512,168,
514,3,
515,328,
516,40,
517,429,
518,169,
519,139,
520,359,
521,479,
524,431,
526,377,
527,402,
529,292,
530,306,
532,235,
533,620,
534,452,
536,48,
537,5,
538,163,
539,268,
541,258,
542,19,
543,92,
544,419,
545,542,
546,560,
547,415,
548,257,
551,117,
553,309,
554,425,
558,15,
560,563,
561,615,
565,366,
566,179,
567,127,
568,316,
569,461,
570,523,
571,531,
574,462,
575,547,
576,202,
577,263,
579,17,
580,231,
582,609,
585,72,
586,398,
587,505,
588,538,
590,175,
592,583,
593,610,
595,456,
596,441,
600,229,
601,326,
603,301,
604,494,
606,59,
607,445,
610,8,
611,100,
612,450,
613,495,
615,23,
617,49,
618,380,
620,7,
621,162,
622,514,
623,549,
624,130,
625,624,
626,453,
628,314,
631,565,
632,273,
633,343,
634,439,
635,585,
636,194,
637,277,
638,331,
639,438,
640,532,
642,129,
643,166,
645,543,
649,524,
650,533,
652,264,
655,403,
656,509,
657,10,
660,267,
661,45,
662,569,
664,216,
666,82,
667,181,
668,249,
669,510,
670,288,
671,576,
672,240,
673,25,
674,73,
675,245,
676,427,
677,113,
678,237,
679,24,
682,121,
683,396,
684,480,
685,143,
686,95,
687,477,
688,482,
689,29,
690,528,
691,214,
692,550,
695,335,
696,338,
697,352,
698,195,
701,595,
705,60,
706,90,
707,371,
709,75,
710,621,
711,457,
712,151,
713,608,
715,272,
716,515,
718,109,
719,487,
720,213,
721,303,
722,426,
724,611,
725,612,
727,58,
728,204,
729,575,
730,369,
731,508,
732,541,
733,260,
734,567,
735,147,
736,198,
737,546,
740,349,
741,424,
742,123,
743,342,
745,199,
746,242,
747,284,
749,522,
750,42,
751,337,
752,566,
754,149,
756,294,
757,118,
759,571,
760,184,
761,302,
762,557,
763,605,
765,616,
766,628,
767,632,
768,174,
772,252,
773,551,
775,18,
776,475,
777,134,
778,584,
781,36,
782,187,
783,208,
784,422,
786,623,
788,53,
789,255,
792,210,
793,436,
794,192,
795,271,
796,103,
797,329,
798,93,
799,476,
805,474,
807,163,
808,117,
811,262,
812,563,
814,461,
817,202,
821,437,
822,301,
824,445,
827,549,
828,244,
830,585,
832,543,
834,524,
839,73,
840,245,
841,550,
842,335,
843,195,
846,170,
847,58,
849,147,
850,424,
852,199,
853,284,
854,42,
855,566,
857,571,
859,302,
865,18,
866,475,
868,134,
869,392,
